8E         ADC A,(HL)
DDCB d 2E  SRA (IX+d)
FDCB d 2E  SRA (IY+d)
CB2F       SRA A
CB28       SRA B
CB29       SRA C
CB2A       SRA D
CB2B       SRA E
CB2C       SRA H
CB2D       SRA L
CB3E       SRL (HL)
DDCB d 3E  SRL (IX+d)
FDCB d 3E  SRL (IY+d)
CB3F       SRL A
CB38       SRL B
CB39       SRL C
CB3A       SRL D
CB3B       SRL E
CB3C       SRL H
CB3D       SRL L
96         SUB A,(HL)
DD96 d     SUB A,(IX+d)
FD96 d     SUB A,(IY+d)
97         SUB A,A
90         SUB A,B
91         SUB A,C
92         SUB A,D
93         SUB A,E
94         SUB A,H
95         SUB A,L
D6 n       SUB A,n
AE         XOR (HL)
DDAE d     XOR (IX+d)
FDAE d     XOR (IY+d)
AF         XOR A
A8         XOR B
A9         XOR C
AA         XOR D
AB         XOR E
AC         XOR H
AD         XOR L
EE n       XOR n
ED00 n     IN0 B,(n)
ED08 n     IN0 C,(n)
ED10 n     IN0 D,(n)
ED18 n     IN0 E,(n)
ED20 n     IN0 H,(n)
ED28 n     IN0 L,(n)
ED30 n     IN0 F,(n)
ED38 n     IN0 A,(n)
ED4C       MLT BC
ED5C       MLT DE
ED6C       MLT HL
ED7C       MLT SP
ED8B       OTDM
ED9B       OTDMR
ED83       OTIM
ED93       OTIMR
ED01 n     OUT0 (n),B
ED09 n     OUT0 (n),C
ED11 n     OUT0 (n),D
ED19 n     OUT0 (n),E
ED21 n     OUT0 (n),H
ED29 n     OUT0 (n),L
ED31 n     OUT0 (n),0
ED39 n     OUT0 (n),A
ED76       SLP
ED04       TST B
ED0C       TST C
ED14       TST D
ED1C       TST E
ED24       TST H
ED2C       TST L
ED34       TST (HL)
ED3C       TST A
ED64 n     TST n
ED74 n     TSTIO (C),n
